work,dimension,population_size,max_gens,alpha,RAM,PKG,seconds,generations,diff_fitness,evaluations,initial_temp
intel-2, 10, 200, 25, 10, 22.57, 173.45, 27.10157180, 39, 2.30773700000003, 72416, 63.0
base-intel-2, 10, 200, 25, 10, 15.98, 125.37, 19.39836834, , 0, , 63.0
intel-2, 10, 200, 25, 10, 21.94, 172.08, 26.84309263, 29, 5.37837200000001, 53928, 64.0
base-intel-2, 10, 200, 25, 10, 16.11, 122.62, 19.43766511, , 0, , 61.0
intel-2, 10, 200, 25, 10, 21.80, 170.44, 26.63864556, 60, 4.328802, 111028, 60.0
base-intel-2, 10, 200, 25, 10, 16.23, 125.19, 19.61712533, , 0, , 59.0
intel-2, 10, 200, 25, 10, 21.65, 171.73, 26.39962183, 59, 4.157017, 109052, 59.0
base-intel-2, 10, 200, 25, 10, 16.37, 128.08, 19.65583729, , 0, , 61.0
intel-2, 10, 200, 25, 10, 22.06, 172.48, 26.63389113, 41, 4.59139900000002, 76051, 59.0
base-intel-2, 10, 200, 25, 10, 16.04, 121.79, 19.37853144, , 0, , 64.0
intel-2, 10, 200, 25, 10, 22.36, 172.08, 27.06568750, 67, 2.55096700000001, 123765, 61.0
base-intel-2, 10, 200, 25, 10, 15.90, 125.28, 19.44399950, , 0, , 62.0
intel-2, 10, 200, 25, 10, 22.37, 173.44, 27.25493934, 78, 3.57849099999999, 144236, 62.0
base-intel-2, 10, 200, 25, 10, 16.06, 124.87, 19.33827954, , 0, , 60.0
intel-2, 10, 200, 25, 10, 21.74, 174.07, 26.82075151, 39, 4.72733099999999, 72221, 60.0
base-intel-2, 10, 200, 25, 10, 16.54, 123.10, 19.65342759, , 0, , 60.0
base-intel-2, 5, 400, 10, 10, 16.60, 122.17, 19.49252365, , 0, , 59.0
intel-2, 5, 400, 10, 10, 21.75, 170.68, 26.53677554, 19, 0.0814619999999877, 71222, 61.0
base-intel-2, 5, 400, 10, 10, 17.78, 126.73, 20.05171560, , 0, , 58.0
intel-2, 5, 400, 10, 10, 21.60, 170.84, 26.50221258, 35, 0.156468000000018, 130400, 60.0
base-intel-2, 5, 400, 10, 10, 16.28, 130.06, 19.74951819, , 0, , 61.0
intel-2, 5, 400, 10, 10, 22.43, 172.46, 26.89242202, 33, 0.185555000000022, 122831, 61.0
base-intel-2, 5, 400, 10, 10, 15.99, 124.38, 19.49293373, , 0, , 66.0
intel-2, 5, 400, 10, 10, 22.29, 172.39, 26.96287899, 39, 0.106161999999983, 144973, 63.0
base-intel-2, 5, 400, 10, 10, 16.12, 124.70, 19.42864479, , 0, , 63.0
intel-2, 5, 400, 10, 10, 21.72, 169.60, 26.69122859, 12, 0.10306300000002, 45257, 62.0
base-intel-2, 5, 400, 10, 10, 16.52, 124.62, 19.55586895, , 0, , 61.0
intel-2, 5, 400, 10, 10, 22.07, 169.36, 26.77677447, 13, 0.32455299999998, 49015, 60.0
base-intel-2, 5, 400, 10, 10, 16.31, 125.09, 19.59665387, , 0, , 62.0
intel-2, 5, 400, 10, 10, 22.64, 169.57, 26.76634820, 24, 0.217388000000028, 89666, 60.0
base-intel-2, 5, 400, 10, 10, 15.85, 125.58, 19.35180032, , 0, , 59.0
intel-2, 5, 400, 10, 10, 22.61, 172.24, 27.01603794, 41, 0.157085999999993, 152294, 59.0
base-intel-2, 5, 400, 10, 10, 16.78, 126.08, 19.58031635, , 0, , 62.0
intel-2, 5, 400, 10, 10, 23.65, 173.16, 27.37392464, 35, 0.179791000000023, 130226, 61.0
base-intel-2, 5, 400, 10, 10, 16.41, 126.27, 19.53464093, , 0, , 63.0
intel-2, 5, 400, 10, 10, 21.99, 170.76, 26.78266841, 16, 0.180372000000034, 59889, 63.0
base-intel-2, 5, 400, 10, 10, 16.39, 126.53, 19.72692364, , 0, , 63.0
intel-2, 5, 400, 10, 10, 22.07, 173.41, 26.92136347, 17, 0.073869000000002, 63865, 63.0
base-intel-2, 5, 400, 10, 10, 16.41, 127.32, 19.74381056, , 0, , 65.0
intel-2, 5, 400, 10, 10, 21.57, 168.23, 26.45329724, 30, 0.0824959999999919, 111633, 61.0
base-intel-2, 5, 400, 10, 10, 16.75, 127.31, 19.64382252, , 0, , 60.0
intel-2, 5, 400, 10, 10, 22.02, 172.30, 26.86969198, 15, 0.257374000000027, 56407, 59.0
base-intel-2, 5, 400, 10, 10, 16.49, 122.93, 19.58177008, , 0, , 61.0
intel-2, 5, 400, 10, 10, 22.24, 171.75, 26.82832868, 12, 0.262032000000033, 45382, 59.0
base-intel-2, 5, 400, 10, 10, 16.08, 121.03, 19.40590440, , 0, , 60.0
