work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
hc-64-3, 10, 200, 10, 10, 414.31, 7.27417408, 17, 12.206011, 103117, 36.9, 34.0
base-hc-64-3, 10, 200, 10, 10, 250.04, 4.32916951, , 0, , 36.4, 33.5
hc-64-3, 10, 200, 10, 10, 425.89, 7.27307885, 16, 16.318436, 96553, 37.6, 34.1
base-hc-64-3, 10, 200, 10, 10, 257.48, 4.36022118, , 0, , 37.9, 33.8
hc-64-3, 10, 200, 10, 10, 418.97, 7.24458326, 19, 10.779374, 112314, 39.4, 35.4
base-hc-64-3, 10, 200, 10, 10, 244.35, 4.30180935, , 0, , 36.6, 34.0
hc-64-3, 10, 200, 10, 10, 415.97, 7.22393084, 18, 17.393618, 109523, 38.1, 33.2
base-hc-64-3, 10, 200, 10, 10, 252.84, 4.33177146, , 0, , 36.9, 33.5
hc-64-3, 10, 200, 10, 10, 421.27, 7.27421418, 15, 14.597094, 89437, 35.0, 33.0
base-hc-64-3, 10, 200, 10, 10, 249.48, 4.31887951, , 0, , 37.6, 33.2
hc-64-3, 10, 200, 10, 10, 416.54, 7.22815471, 25, 6.99279700000001, 148095, 38.9, 35.9
base-hc-64-3, 10, 200, 10, 10, 246.44, 4.32409732, , 0, , 35.0, 33.0
hc-64-3, 10, 200, 10, 10, 414.55, 7.23629258, 30, 7.27629300000001, 180999, 36.9, 36.1
base-hc-64-3, 10, 200, 10, 10, 244.88, 4.28976161, , 0, , 36.4, 32.2
hc-64-3, 10, 200, 10, 10, 423.72, 7.26526662, 14, 11.146507, 86251, 36.9, 33.5
base-hc-64-3, 10, 200, 10, 10, 238.33, 4.29795598, , 0, , 36.9, 32.5
hc-64-3, 10, 200, 10, 10, 406.66, 7.26388057, 22, 14.981572, 131365, 37.9, 33.2
base-hc-64-3, 10, 200, 10, 10, 244.00, 4.34251725, , 0, , 42.2, 38.8
hc-64-3, 10, 200, 10, 10, 403.75, 7.20904454, 23, 13.734179, 139364, 37.4, 33.8
base-hc-64-3, 10, 200, 10, 10, 237.24, 4.30028704, , 0, , 35.4, 33.0
hc-64-3, 10, 200, 10, 10, 402.63, 7.17493561, 25, 14.981779, 151214, 37.4, 33.2
base-hc-64-3, 10, 200, 10, 10, 234.22, 4.27974344, , 0, , 37.4, 33.2
hc-64-3, 10, 200, 10, 10, 446.40, 7.34802407, 31, 8.99564100000001, 186487, 36.9, 33.0
base-hc-64-3, 10, 200, 10, 10, 248.00, 4.31591482, , 0, , 41.2, 35.1
hc-64-3, 10, 200, 10, 10, 407.90, 7.21576038, 24, 14.185768, 144376, 36.9, 33.8
base-hc-64-3, 10, 200, 10, 10, 248.71, 4.34854863, , 0, , 35.4, 33.4
base-hc-64-3, 10, 200, 25, 10, 256.11, 4.39191440, , 0, , 41.8, 43.2
hc-64-3, 10, 200, 25, 10, 427.25, 7.31919146, 34, 1.30816800000001, 203185, 35.9, 35.9
base-hc-64-3, 10, 200, 25, 10, 252.69, 4.38170725, , 0, , 34.4, 34.4
hc-64-3, 10, 200, 25, 10, 424.07, 7.33973194, 62, 6.27196600000001, 370997, 34.4, 35.4
base-hc-64-3, 10, 200, 25, 10, 237.37, 4.27918711, , 0, , 40.2, 35.1
hc-64-3, 10, 200, 25, 10, 412.03, 7.26640604, 51, 7.437578, 305687, 37.9, 35.1
base-hc-64-3, 10, 200, 25, 10, 245.76, 4.34502832, , 0, , 40.8, 37.5
hc-64-3, 10, 200, 25, 10, 411.29, 7.25870579, 37, 10.972847, 224401, 36.6, 33.0
base-hc-64-3, 10, 200, 25, 10, 243.01, 4.30243600, , 0, , 37.4, 34.1
hc-64-3, 10, 200, 25, 10, 415.61, 7.28014754, 44, 13.256503, 260448, 37.4, 34.9
base-hc-64-3, 10, 200, 25, 10, 246.78, 4.32623014, , 0, , 43.2, 39.2
hc-64-3, 10, 200, 25, 10, 407.15, 7.24364681, 52, 13.160938, 314322, 34.5, 32.5
base-hc-64-3, 10, 200, 25, 10, 240.34, 4.29301721, , 0, , 35.0, 32.5
hc-64-3, 10, 200, 25, 10, 413.12, 7.27654845, 99, 5.72028, 592625, 37.4, 34.6
base-hc-64-3, 10, 200, 25, 10, 243.13, 4.32667148, , 0, , 44.6, 39.0
hc-64-3, 10, 200, 25, 10, 409.23, 7.24011613, 65, 8.34408400000001, 392739, 39.8, 37.2
base-hc-64-3, 10, 200, 25, 10, 247.59, 4.33323183, , 0, , 42.2, 38.2
hc-64-3, 10, 200, 25, 10, 413.45, 7.23304625, 52, 10.611541, 309782, 44.2, 35.4
base-hc-64-3, 10, 200, 25, 10, 244.30, 4.31990752, , 0, , 35.4, 33.9
hc-64-3, 10, 200, 25, 10, 408.89, 7.26569316, 61, 12.55211, 367705, 38.9, 35.9
base-hc-64-3, 10, 200, 25, 10, 246.49, 4.32166473, , 0, , 46.1, 44.9
hc-64-3, 10, 200, 25, 10, 406.03, 7.24071706, 64, 11.585348, 384850, 35.8, 33.8
base-hc-64-3, 10, 200, 25, 10, 240.42, 4.30374411, , 0, , 41.8, 38.2
hc-64-3, 10, 200, 25, 10, 406.76, 7.20556723, 52, 7.00982900000001, 309077, 37.4, 34.1
base-hc-64-3, 10, 200, 25, 10, 244.24, 4.33515648, , 0, , 35.4, 32.5
hc-64-3, 10, 200, 25, 10, 399.45, 7.17892842, 99, 5.15847500000001, 594728, 35.0, 33.0
base-hc-64-3, 10, 200, 25, 10, 245.22, 4.32406633, , 0, , 38.4, 36.6
hc-64-3, 10, 200, 25, 10, 411.25, 7.26726049, 72, 11.627633, 434721, 36.6, 33.0
base-hc-64-3, 10, 200, 25, 10, 242.55, 4.31048231, , 0, , 36.1, 32.8
hc-64-3, 10, 200, 25, 10, 406.30, 7.23949098, 55, 9.58076800000001, 326902, 41.2, 33.2
base-hc-64-3, 10, 200, 25, 10, 252.85, 4.35333768, , 0, , 43.8, 41.1
hc-64-3, 10, 200, 25, 10, 399.20, 7.19914176, 46, 17.038436, 274424, 41.2, 37.0
base-hc-64-3, 10, 200, 25, 10, 243.06, 4.32570882, , 0, , 35.9, 33.0
hc-64-3, 10, 200, 25, 10, 407.66, 7.24804715, 34, 12.298149, 200804, 36.9, 33.9
base-hc-64-3, 10, 200, 25, 10, 233.54, 4.29206308, , 0, , 51.8, 36.1
hc-64-3, 10, 200, 25, 10, 411.24, 7.21220141, 52, 8.85736700000001, 312995, 38.9, 33.5
base-hc-64-3, 10, 200, 25, 10, 242.23, 4.31350096, , 0, , 36.4, 35.6
hc-64-3, 10, 200, 25, 10, 401.70, 7.21122330, 38, 10.1876, 229439, 35.0, 32.5
base-hc-64-3, 10, 200, 25, 10, 240.08, 4.29648244, , 0, , 39.6, 35.6
hc-64-3, 10, 200, 25, 10, 409.61, 7.22794386, 50, 9.08463, 300342, 40.1, 36.6
base-hc-64-3, 10, 200, 25, 10, 238.26, 4.29909140, , 0, , 39.4, 36.6
hc-64-3, 10, 200, 25, 10, 425.47, 7.35353921, 74, 7.424694, 444856, 39.6, 40.9
base-hc-64-3, 10, 200, 25, 10, 244.10, 4.31999650, , 0, , 37.4, 36.4
hc-64-3, 10, 200, 25, 10, 400.93, 7.18567974, 56, 6.043418, 332919, 35.4, 33.2
base-hc-64-3, 10, 200, 25, 10, 238.51, 4.28894498, , 0, , 39.8, 35.6
hc-64-3, 10, 200, 25, 10, 407.80, 7.24604480, 105, 7.989723, 630677, 36.4, 32.0
base-hc-64-3, 10, 200, 25, 10, 245.47, 4.31858088, , 0, , 36.4, 34.9
hc-64-3, 10, 200, 25, 10, 401.03, 7.20131256, 37, 12.539293, 221020, 47.6, 33.5
base-hc-64-3, 10, 200, 25, 10, 245.02, 4.32288677, , 0, , 37.9, 33.5
hc-64-3, 10, 200, 25, 10, 411.83, 7.30235091, 72, 7.45572900000001, 434210, 37.4, 34.0
base-hc-64-3, 10, 200, 25, 10, 245.38, 4.33715883, , 0, , 37.1, 34.0
hc-64-3, 10, 200, 25, 10, 409.94, 7.25365059, 37, 11.309715, 223308, 43.6, 40.1
base-hc-64-3, 10, 200, 25, 10, 243.62, 4.33036733, , 0, , 43.8, 34.9
hc-64-3, 10, 200, 25, 10, 406.60, 7.27888512, 101, 11.616838, 605463, 34.8, 32.5
base-hc-64-3, 10, 200, 25, 10, 240.22, 4.30443111, , 0, , 37.4, 33.9
hc-64-3, 10, 200, 25, 10, 404.65, 7.21121510, 39, 13.205079, 232556, 36.9, 33.5
base-hc-64-3, 10, 200, 25, 10, 241.60, 4.32407032, , 0, , 39.1, 34.9
hc-64-3, 10, 200, 25, 10, 408.24, 7.21777672, 36, 11.53058, 215257, 35.9, 33.0
base-hc-64-3, 10, 200, 25, 10, 243.99, 4.30746480, , 0, , 34.5, 32.5
