work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
base-unbalanced-1, 10, 200, 25, 10, 289.08, 6.66081936, , 0, , 32.5, 30.5
unbalanced-1, 10, 200, 25, 10, 407.12, 9.09540381, 43, 6.020937, 79824, 32.5, 30.5
base-unbalanced-1, 10, 200, 25, 10, 285.34, 6.59188727, , 0, , 35.4, 31.5
unbalanced-1, 10, 200, 25, 10, 411.20, 9.08524260, 47, 4.915609, 87085, 33.0, 30.5
base-unbalanced-1, 10, 200, 25, 10, 294.76, 6.62284107, , 0, , 33.5, 31.5
unbalanced-1, 10, 200, 25, 10, 406.94, 9.03872964, 54, 5.30404300000001, 99864, 32.0, 30.5
base-unbalanced-1, 10, 200, 25, 10, 298.90, 6.60579875, , 0, , 32.0, 31.0
unbalanced-1, 10, 200, 25, 10, 417.34, 9.03525384, 40, 4.10632200000001, 74235, 31.5, 30.5
base-unbalanced-1, 10, 200, 25, 10, 291.60, 6.64915038, , 0, , 33.0, 31.5
unbalanced-1, 10, 200, 25, 10, 489.19, 9.34510851, 53, 6.64600200000001, 98210, 33.5, 31.0
base-unbalanced-1, 10, 200, 25, 10, 371.66, 6.88866717, , 0, , 33.0, 31.5
unbalanced-1, 10, 200, 25, 10, 466.47, 9.26199678, 34, 6.25035800000001, 62910, 35.2, 31.5
base-unbalanced-1, 10, 200, 25, 10, 362.06, 6.84304091, , 0, , 33.5, 31.0
unbalanced-1, 10, 200, 25, 10, 440.83, 9.15839427, 67, 3.477862, 124040, 33.2, 30.5
base-unbalanced-1, 10, 200, 25, 10, 356.22, 6.87934683, , 0, , 33.5, 31.0
unbalanced-1, 10, 200, 25, 10, 494.17, 9.35849155, 44, 5.21033800000001, 81526, 34.2, 32.0
base-unbalanced-1, 10, 200, 25, 10, 338.63, 6.79250670, , 0, , 33.5, 31.5
unbalanced-1, 10, 200, 25, 10, 469.04, 9.26886790, 64, 4.318157, 118407, 35.4, 32.5
base-unbalanced-1, 10, 200, 25, 10, 359.52, 6.84358147, , 0, , 34.2, 31.5
unbalanced-1, 10, 200, 25, 10, 514.74, 9.42328030, 49, 7.53390300000001, 90749, 36.4, 32.0
base-unbalanced-1, 10, 200, 25, 10, 378.81, 6.96609987, , 0, , 33.5, 32.5
unbalanced-1, 10, 200, 25, 10, 467.81, 9.27407148, 59, 5.096047, 109254, 33.5, 31.0
base-unbalanced-1, 10, 200, 25, 10, 507.01, 7.47558291, , 0, , 34.2, 31.5
unbalanced-1, 10, 200, 25, 10, 493.91, 9.38773751, 44, 5.978308, 81587, 34.0, 31.0
base-unbalanced-1, 10, 200, 25, 10, 543.98, 7.70220057, , 0, , 43.8, 40.1
unbalanced-1, 10, 200, 25, 10, 829.38, 10.96629900, 29, 4.71423300000001, 53990, 47.4, 37.8
base-unbalanced-1, 10, 200, 25, 10, 607.85, 7.93321428, , 0, , 42.2, 39.4
unbalanced-1, 10, 200, 25, 10, 958.32, 11.58220581, 36, 5.43612, 66878, 47.4, 34.1
base-unbalanced-1, 10, 200, 25, 10, 536.18, 7.78362363, , 0, , 38.9, 36.2
unbalanced-1, 10, 200, 25, 10, 890.43, 11.36429308, 47, 5.62581400000001, 87130, 42.2, 39.1
base-unbalanced-1, 10, 200, 25, 10, 527.81, 7.77216667, , 0, , 37.9, 34.9
unbalanced-1, 10, 200, 25, 10, 793.48, 10.95436849, 34, 7.943161, 63238, 41.0, 37.5
