work,dimension,population_size,max_gens,alpha,RAM,PKG,seconds,generations,diff_fitness,evaluations,initial_temp
intel, 10, 200, 25, 10, 38.13, 162.28, 28.33134676, 78, 3.84267299999999, 144076, 60.0
base-intel, 10, 200, 25, 10, 33.97, 121.24, 22.49789063, , 0, , 59.0
intel, 10, 200, 25, 10, 28.44, 154.23, 25.52684426, 65, 4.21941099999998, 120243, 64.0
base-intel, 10, 200, 25, 10, 37.29, 130.81, 23.56051412, , 0, , 60.0
intel, 10, 200, 25, 10, 49.35, 169.04, 31.65689246, 73, 5.19072599999998, 135029, 60.0
base-intel, 10, 200, 25, 10, 30.07, 116.31, 21.38991621, , 0, , 59.0
intel, 10, 200, 25, 10, 46.09, 164.78, 30.56111033, 64, 3.67440499999998, 118238, 60.0
base-intel, 10, 200, 25, 10, 28.12, 115.94, 20.78096254, , 0, , 62.0
intel, 10, 200, 25, 10, 52.29, 175.23, 32.96202340, 54, 4.76551699999999, 100169, 67.0
base-intel, 10, 200, 25, 10, 40.12, 129.47, 24.10642068, , 0, , 59.0
base-intel, 5, 400, 10, 10, 30.24, 125.28, 21.54252006, , 0, , 63.0
intel, 5, 400, 10, 10, 32.60, 156.37, 26.85660356, 23, 0.0711039999999912, 85981, 59.0
base-intel, 5, 400, 10, 10, 25.08, 120.42, 19.88091760, , 0, , 63.0
intel, 5, 400, 10, 10, 37.40, 159.57, 27.96591349, 15, 0.369571000000008, 56324, 65.0
base-intel, 5, 400, 10, 10, 23.61, 115.53, 19.37040321, , 0, , 58.0
intel, 5, 400, 10, 10, 39.24, 167.51, 28.64741166, 30, 0.146844999999985, 111895, 64.0
base-intel, 5, 400, 10, 10, 34.07, 117.71, 22.46109506, , 0, , 58.0
intel, 5, 400, 10, 10, 39.36, 156.98, 28.58446868, 20, 0.238670000000013, 74662, 59.0
base-intel, 5, 400, 10, 10, 30.05, 116.71, 21.17191593, , 0, , 60.0
intel, 5, 400, 10, 10, 43.25, 160.31, 30.11073497, 17, 0.167544000000021, 63755, 60.0
base-intel, 5, 400, 10, 10, 18.15, 109.19, 17.65321439, , 0, , 60.0
intel, 5, 400, 10, 10, 22.02, 145.76, 23.61517672, 16, 0.298226, 60135, 59.0
base-intel, 5, 400, 10, 10, 15.72, 106.62, 17.10851438, , 0, , 60.0
intel, 5, 400, 10, 10, 22.72, 148.09, 24.10466870, 26, 0.153098, 96870, 60.0
