work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
taskset-4, 10, 200, 25, 10, 439.85, 9.38466415, 48, 3.714859, 88866, 34.5, 32.1
base-taskset-4, 10, 200, 25, 10, 335.47, 6.93373553, , 0, , 37.9, 32.0
taskset-4, 10, 200, 25, 10, 440.11, 9.42574649, 65, 5.545038, 120206, 36.1, 33.5
base-taskset-4, 10, 200, 25, 10, 319.40, 6.91962164, , 0, , 36.4, 33.5
taskset-4, 10, 200, 25, 10, 455.13, 9.34702831, 35, 7.90969, 64939, 34.0, 31.5
base-taskset-4, 10, 200, 25, 10, 437.08, 7.27072667, , 0, , 40.2, 36.9
taskset-4, 10, 200, 25, 10, 664.19, 9.96693474, 29, 6.77334, 53879, 41.0, 37.2
base-taskset-4, 10, 200, 25, 10, 359.89, 7.01493856, , 0, , 43.5, 35.1
taskset-4, 10, 200, 25, 10, 438.47, 9.27256128, 27, 8.11776, 50257, 35.0, 32.5
base-taskset-4, 10, 200, 25, 10, 311.48, 6.94287334, , 0, , 36.4, 33.5
taskset-4, 10, 200, 25, 10, 461.83, 9.31616398, 50, 6.605239, 92677, 35.8, 32.0
base-taskset-4, 10, 200, 25, 10, 322.84, 6.92231031, , 0, , 42.2, 39.2
taskset-4, 10, 200, 25, 10, 440.72, 9.30354370, 54, 5.82302, 100131, 39.9, 38.0
base-taskset-4, 10, 200, 25, 10, 326.64, 6.94429535, , 0, , 37.4, 34.0
taskset-4, 10, 200, 25, 10, 441.57, 9.30539979, 41, 6.325854, 75896, 41.5, 34.6
base-taskset-4, 10, 200, 25, 10, 308.72, 6.90175708, , 0, , 45.2, 38.5
taskset-4, 10, 200, 25, 10, 429.46, 9.25271608, 39, 6.216843, 72410, 41.5, 34.1
base-taskset-4, 10, 200, 25, 10, 321.56, 6.88838941, , 0, , 37.9, 35.1
taskset-4, 10, 200, 25, 10, 444.43, 9.35250341, 69, 4.752452, 127690, 37.9, 34.9
base-taskset-4, 10, 200, 25, 10, 327.12, 6.90848230, , 0, , 35.4, 32.5
taskset-4, 10, 200, 25, 10, 418.75, 9.33002642, 98, 6.325207, 181066, 33.8, 32.0
base-taskset-4, 10, 200, 25, 10, 316.90, 6.95912093, , 0, , 39.4, 35.9
taskset-4, 10, 200, 25, 10, 464.11, 9.38365237, 40, 7.993996, 74220, 39.4, 34.4
base-taskset-4, 10, 200, 25, 10, 340.41, 6.93348423, , 0, , 41.2, 37.2
taskset-4, 10, 200, 25, 10, 461.30, 9.40163525, 80, 5.285294, 147548, 35.0, 32.5
base-taskset-4, 10, 200, 25, 10, 340.98, 6.94160979, , 0, , 36.1, 32.0
