work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
taskset-5, 10, 200, 25, 10, 833.18, 10.23852798, 45, 3.79535100000001, 83445, 44.6, 42.6
base-taskset-5, 10, 200, 25, 10, 603.89, 7.43341885, , 0, , 41.0, 41.4
taskset-5, 10, 200, 25, 10, 860.24, 10.34091500, 57, 4.363175, 105246, 40.8, 38.8
base-taskset-5, 10, 200, 25, 10, 604.44, 7.41252165, , 0, , 51.9, 40.6
taskset-5, 10, 200, 25, 10, 799.09, 10.03170760, 43, 5.64169, 79592, 38.9, 39.4
base-taskset-5, 10, 200, 25, 10, 575.24, 7.31405248, , 0, , 40.8, 39.2
taskset-5, 10, 200, 25, 10, 929.32, 10.47339681, 30, 9.74735100000001, 55705, 40.8, 40.1
base-taskset-5, 10, 200, 25, 10, 673.42, 7.63093750, , 0, , 53.1, 45.6
taskset-5, 10, 200, 25, 10, 836.37, 10.16686925, 32, 4.544573, 59298, 43.6, 40.9
base-taskset-5, 10, 200, 25, 10, 623.13, 7.51971018, , 0, , 38.4, 38.2
taskset-5, 10, 200, 25, 10, 1003.42, 10.93860033, 62, 4.625804, 114714, 41.2, 38.8
base-taskset-5, 10, 200, 25, 10, 655.87, 7.74906424, , 0, , 39.1, 39.9
taskset-5, 10, 200, 25, 10, 865.49, 10.37164535, 75, 7.80644700000001, 138370, 42.8, 41.4
base-taskset-5, 10, 200, 25, 10, 565.48, 7.23379234, , 0, , 39.4, 38.8
taskset-5, 10, 200, 25, 10, 886.67, 10.37117509, 27, 7.287099, 50313, 48.5, 42.8
base-taskset-5, 10, 200, 25, 10, 556.88, 7.29297927, , 0, , 55.8, 43.2
taskset-5, 10, 200, 25, 10, 746.03, 9.84558429, 46, 4.02575800000001, 85351, 49.5, 40.9
base-taskset-5, 10, 200, 25, 10, 551.48, 7.23535514, , 0, , 39.1, 38.8
taskset-5, 10, 200, 25, 10, 753.24, 9.90560670, 59, 5.627025, 109270, 45.2, 40.1
base-taskset-5, 10, 200, 25, 10, 553.19, 7.22756144, , 0, , 38.6, 39.4
taskset-5, 10, 200, 25, 10, 739.36, 9.80228512, 65, 6.61729, 120185, 37.9, 37.8
base-taskset-5, 10, 200, 25, 10, 555.05, 7.24652945, , 0, , 38.1, 39.4
taskset-5, 10, 200, 25, 10, 730.20, 9.76618632, 33, 11.076251, 61308, 41.0, 39.9
base-taskset-5, 10, 200, 25, 10, 583.12, 7.31913898, , 0, , 45.9, 38.8
taskset-5, 10, 200, 25, 10, 927.26, 10.64862425, 44, 4.642095, 81496, 39.9, 38.2
base-taskset-5, 10, 200, 25, 10, 583.02, 7.43607096, , 0, , 41.5, 40.1
taskset-5, 10, 200, 25, 10, 774.31, 9.98262623, 48, 4.152612, 88682, 38.1, 38.2
base-taskset-5, 10, 200, 25, 10, 645.59, 7.74460102, , 0, , 38.6, 39.2
taskset-5, 10, 200, 25, 10, 798.78, 10.06121185, 80, 4.752166, 148050, 50.8, 39.2
base-taskset-5, 10, 200, 25, 10, 627.30, 7.60629220, , 0, , 39.4, 38.5
taskset-5, 10, 200, 25, 10, 934.59, 10.75848779, 63, 6.02849900000001, 116655, 54.0, 40.1
base-taskset-5, 10, 200, 25, 10, 666.61, 7.72796481, , 0, , 40.4, 39.4
taskset-5, 10, 200, 25, 10, 895.59, 10.52587530, 62, 6.04508300000001, 115012, 39.6, 39.2
base-taskset-5, 10, 200, 25, 10, 564.98, 7.25187898, , 0, , 38.6, 38.2
taskset-5, 10, 200, 25, 10, 770.02, 9.90661605, 77, 5.198446, 142388, 40.8, 39.0
base-taskset-5, 10, 200, 25, 10, 552.41, 7.24761171, , 0, , 38.6, 38.8
taskset-5, 10, 200, 25, 10, 728.39, 9.78215713, 84, 3.65989500000001, 154865, 38.6, 38.2
base-taskset-5, 10, 200, 25, 10, 532.55, 7.19110890, , 0, , 40.4, 39.4
taskset-5, 10, 200, 25, 10, 729.05, 9.79089392, 30, 6.953265, 55794, 40.2, 39.6
base-taskset-5, 10, 200, 25, 10, 532.64, 7.18300415, , 0, , 50.5, 38.8
taskset-5, 10, 200, 25, 10, 726.48, 9.77009608, 49, 7.116968, 90775, 37.6, 39.2
base-taskset-5, 10, 200, 25, 10, 529.75, 7.16964273, , 0, , 38.1, 38.2
taskset-5, 10, 200, 25, 10, 717.51, 9.75904218, 56, 6.357378, 103514, 37.4, 38.8
base-taskset-5, 10, 200, 25, 10, 527.52, 7.18555464, , 0, , 37.9, 38.2
base-taskset-5, 5, 400, 10, 10, 653.52, 7.77756876, , 0, , 41.2, 38.8
taskset-5, 5, 400, 10, 10, 792.01, 10.05529105, 21, 0.255113000000009, 78481, 42.8, 41.9
base-taskset-5, 5, 400, 10, 10, 596.62, 7.53617724, , 0, , 38.1, 38.2
taskset-5, 5, 400, 10, 10, 739.99, 9.82689692, 21, 0.20854700000001, 78698, 37.9, 38.8
base-taskset-5, 5, 400, 10, 10, 534.18, 7.16274804, , 0, , 42.8, 38.2
taskset-5, 5, 400, 10, 10, 760.89, 9.87582494, 18, 0.151858000000004, 67507, 41.0, 40.4
base-taskset-5, 5, 400, 10, 10, 556.95, 7.27159497, , 0, , 37.6, 38.8
taskset-5, 5, 400, 10, 10, 771.24, 9.91635836, 15, 0.191878000000003, 56365, 42.0, 38.8
base-taskset-5, 5, 400, 10, 10, 564.73, 7.29774131, , 0, , 50.1, 39.0
taskset-5, 5, 400, 10, 10, 748.95, 9.86439562, 39, 0.0892189999999999, 145468, 37.9, 39.4
base-taskset-5, 5, 400, 10, 10, 561.87, 7.27323214, , 0, , 37.6, 38.8
taskset-5, 5, 400, 10, 10, 765.45, 9.88989833, 32, 0.226375000000004, 119441, 42.2, 39.2
base-taskset-5, 5, 400, 10, 10, 558.67, 7.24428256, , 0, , 38.9, 38.8
taskset-5, 5, 400, 10, 10, 763.44, 9.90113160, 15, 0.249825999999999, 56660, 39.8, 39.0
base-taskset-5, 5, 400, 10, 10, 547.39, 7.21626267, , 0, , 37.9, 39.2
taskset-5, 5, 400, 10, 10, 739.74, 9.84561717, 12, 0.116889, 45104, 37.4, 38.5
base-taskset-5, 5, 400, 10, 10, 598.70, 7.56448249, , 0, , 41.2, 40.1
taskset-5, 5, 400, 10, 10, 844.38, 10.39035787, 18, 0.264024000000006, 67600, 37.9, 38.8
base-taskset-5, 5, 400, 10, 10, 546.43, 7.23603044, , 0, , 40.4, 39.4
taskset-5, 5, 400, 10, 10, 730.24, 9.78800526, 14, 0.168199999999999, 52725, 38.9, 37.8
base-taskset-5, 5, 400, 10, 10, 538.75, 7.18675174, , 0, , 38.4, 38.8
taskset-5, 5, 400, 10, 10, 733.50, 9.79898641, 24, 0.155973000000003, 89690, 37.9, 38.8
base-taskset-5, 5, 400, 10, 10, 533.03, 7.17551484, , 0, , 37.9, 38.8
taskset-5, 5, 400, 10, 10, 729.20, 9.73809915, 15, 0.130216000000004, 56400, 37.4, 38.2
base-taskset-5, 5, 400, 10, 10, 531.52, 7.19314399, , 0, , 37.9, 37.8
taskset-5, 5, 400, 10, 10, 724.80, 9.74110930, 25, 0.0763560000000041, 93598, 37.9, 38.8
